latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year
37.2196,-8.3315,300.2,1.1,1.0,2018-01-03,1120,Terra,MODIS,31,6.03,289.8,3.9,D,0,2018
38.5455,-7.8332,301.7,1.0,1.0,2018-01-17,1132,Terra,MODIS,48,6.03,287.4,5.5,D,0,2018
38.5437,-7.8218,303.5,1.0,1.0,2018-01-17,1132,Terra,MODIS,56,6.03,287.3,6.4,D,0,2018
37.8735,-7.5664,301.2,1.0,1.0,2018-01-17,1132,Terra,MODIS,46,6.03,288.5,5.0,D,0,2018
37.064,-7.9822,301.3,1.1,1.0,2018-01-19,1120,Terra,MODIS,46,6.03,289.8,4.6,D,0,2018
39.9762,-7.1659,301.5,1.1,1.1,2018-01-24,1137,Terra,MODIS,47,6.03,284.0,7.2,D,0,2018
38.5576,-9.1324,301.7,1.2,1.1,2018-01-25,1400,Aqua,MODIS,46,6.03,285.8,8.2,D,0,2018
41.4316,-6.5382,300.5,1.2,1.1,2018-01-28,1112,Terra,MODIS,38,6.03,281.5,8.2,D,0,2018
41.4355,-6.5451,305.1,1.2,1.1,2018-01-28,1112,Terra,MODIS,61,6.03,282.4,10.9,D,0,2018
41.5253,-7.7238,309.6,1.6,1.3,2018-01-29,1155,Terra,MODIS,44,6.03,284.5,20.7,D,0,2018
41.5355,-7.7158,319.2,1.6,1.3,2018-01-29,1155,Terra,MODIS,79,6.03,283.9,39.3,D,0,2018
41.5244,-7.719,308.3,1.6,1.3,2018-01-29,1155,Terra,MODIS,66,6.03,284.3,20.3,D,0,2018
38.508,-7.8965,321.1,1.0,1.0,2018-01-29,1335,Aqua,MODIS,81,6.03,288.9,20.0,D,0,2018
40.9493,-8.0352,306.2,1.0,1.0,2018-01-29,1336,Aqua,MODIS,61,6.03,291.4,6.9,D,0,2018
40.9588,-8.031,307.4,1.0,1.0,2018-01-29,1336,Aqua,MODIS,65,6.03,288.8,9.3,D,0,2018
38.7007,-8.4913,300.1,1.1,1.0,2018-01-29,1336,Aqua,MODIS,24,6.03,285.0,4.5,D,0,2018
41.2623,-7.9226,315.6,1.0,1.0,2018-01-29,1336,Aqua,MODIS,76,6.03,286.8,15.7,D,0,2018
40.8567,-8.6415,302.6,1.0,1.0,2018-01-29,1336,Aqua,MODIS,46,6.03,291.6,4.6,D,0,2018
38.5512,-7.8592,307.0,1.0,1.0,2018-01-29,1336,Aqua,MODIS,65,6.03,289.0,7.7,D,0,2018
40.1126,-8.5392,302.6,1.0,1.0,2018-01-29,1336,Aqua,MODIS,53,6.03,289.4,5.4,D,0,2018
40.951,-8.0235,306.3,1.0,1.0,2018-01-29,1336,Aqua,MODIS,61,6.03,290.6,7.2,D,0,2018
41.282,-7.9564,300.2,2.9,1.6,2018-01-30,1419,Aqua,MODIS,27,6.03,286.5,20.6,D,0,2018
41.2837,-7.9263,305.0,2.9,1.6,2018-01-30,1419,Aqua,MODIS,60,6.03,286.0,34.0,D,0,2018
38.8767,-7.1148,305.6,1.2,1.1,2018-01-31,1323,Aqua,MODIS,62,6.03,289.6,7.8,D,0,2018
38.8743,-7.1283,304.9,1.2,1.1,2018-01-31,1323,Aqua,MODIS,60,6.03,288.8,7.3,D,0,2018
39.0421,-7.1823,302.9,1.0,1.0,2018-02-02,1131,Terra,MODIS,0,6.03,284.9,7.2,D,0,2018
41.0028,-8.0688,301.7,1.0,1.0,2018-02-02,1131,Terra,MODIS,49,6.03,280.1,7.9,D,0,2018
41.6877,-7.2845,306.9,1.5,1.2,2018-02-02,1312,Aqua,MODIS,61,6.03,278.8,19.6,D,0,2018
38.0295,-7.7808,303.3,1.2,1.1,2018-02-03,1354,Aqua,MODIS,56,6.03,288.5,6.9,D,0,2018
